Activity_ID,Application_ID,Product_Type,Channel,Stage,Activity_Type,Activity_Timestamp,Performed_By,Status_After_Activity,Activity_Notes,Dedupe_Flag,Dedupe_Match_Type,Existing_Record_Flag,Risk_Grade,Fraud_Flag,Exception_Flag,Bureau_Score,Employment_Verified,Income_Verified,Address_Verified,KYC_Status,UW_Decision,Escalation_Required,Underwriting_Notes,Documents_Collected_Flag,Missing_Documents_Count,PDOC_Status,PDOC_Clearance_Date,PDOC_Notes,Final_Approved_Limit,Disbursement_Date,Activation_Status,Welcome_Kit_Sent,DI_Notes,Stage_Start_Timestamp,Stage_End_Timestamp,Stage_Duration_Minutes,Total_Processing_Days,SLA_Met,Last_Modified_By,Last_Modified_Timestamp,Escalation_Notes,QA_Check_Flag
17,APP002,Loan,Branch,Underwriting,Verified Documents,2025-09-05 16:48,Auto,Pending,Verified Documents done for Underwriting,Yes,Exact,NA,Medium,No,NA,464,Yes,NA,NA,Cleared,Approve,Yes,Notes for Underwriting,No,2,Complete,2025-09-05 17:48,PDOC note for APP002,8337,2025-09-05 18:48,Active,Yes,DI note for APP002,2025-09-05 14:43,2025-09-05 16:48,125,3,Yes,System,2025-09-05 16:48,Escalation note for APP002,No
18,APP002,Loan,Branch,Underwriting,Decision,2025-09-05 18:56,Auto,Pending,Decision done for Underwriting,NA,Partial,NA,High,Yes,NA,856,No,NA,NA,Rejected,Approve,NA,Notes for Underwriting,Yes,3,Approved,2025-09-05 19:56,PDOC note for APP002,6790,2025-09-05 20:56,Inactive,No,DI note for APP002,2025-09-05 17:22,2025-09-05 18:56,94,6,Yes,System,2025-09-05 18:56,Escalation note for APP002,No
19,APP002,Loan,Branch,Underwriting,Escalated,2025-09-05 22:42,Team A,Escalated,Escalated done for Underwriting,No,Exact,Yes,High,NA,No,685,Yes,NA,No,Cleared,Approve,Yes,Notes for Underwriting,Yes,1,On Hold,2025-09-05 23:42,PDOC note for APP002,1436,2025-09-06 00:42,Inactive,Yes,DI note for APP002,2025-09-05 19:01,2025-09-05 22:42,221,7,No,Team A,2025-09-05 22:42,Escalation note for APP002,Yes
20,APP002,Loan,Branch,PDOC,Documents Collected,2025-09-06 00:41,Third Party,On Hold,Documents Collected done for PDOC,No,Exact,No,High,No,NA,837,Yes,NA,No,Rejected,Decline,NA,Notes for PDOC,No,2,Approved,2025-09-06 01:41,PDOC note for APP002,6808,2025-09-06 02:41,Inactive,No,DI note for APP002,2025-09-05 22:53,2025-09-06 00:41,108,5,Yes,Team A,2025-09-06 00:41,Escalation note for APP002,No
21,APP002,Loan,Branch,PDOC,PDOC Reviewed,2025-09-06 04:23,Third Party,On Hold,PDOC Reviewed done for PDOC,No,Exact,No,High,NA,Yes,657,No,NA,NA,Rejected,Decline,No,Notes for PDOC,No,1,Pending,2025-09-06 05:23,PDOC note for APP002,8555,2025-09-06 06:23,Inactive,NA,DI note for APP002,2025-09-06 01:18,2025-09-06 04:23,185,1,Yes,Team B,2025-09-06 04:23,Escalation note for APP002,No
22,APP002,Loan,Branch,DI,Disbursed,2025-09-06 06:13,Team A,Escalated,Disbursed done for DI,No,Partial,Yes,High,NA,Yes,564,Yes,Yes,Yes,Rejected,Decline,NA,Notes for DI,NA,1,Escalated,2025-09-06 07:13,PDOC note for APP002,6535,2025-09-06 08:13,Active,Yes,DI note for APP002,2025-09-06 05:18,2025-09-06 06:13,55,5,Yes,Team A,2025-09-06 06:13,Escalation note for APP002,Yes
23,APP002,Loan,Branch,DI,Activated,2025-09-06 09:22,Auto,Approved,Activated done for DI,Yes,None,No,Low,Yes,NA,349,No,Yes,NA,Rejected,Decline,NA,Notes for DI,Yes,2,Pending,2025-09-06 10:22,PDOC note for APP002,7251,2025-09-06 11:22,Active,NA,DI note for APP002,2025-09-06 07:08,2025-09-06 09:22,134,9,No,Team B,2025-09-06 09:22,Escalation note for APP002,No
24,APP002,Loan,Branch,DI,Welcome Kit Sent,2025-09-06 10:55,Third Party,Pending,Welcome Kit Sent done for DI,No,Exact,NA,Low,NA,Yes,308,NA,NA,Yes,Rejected,Decline,No,Notes for DI,NA,3,Escalated,2025-09-06 11:55,PDOC note for APP002,5984,2025-09-06 12:55,Active,Yes,DI note for APP002,2025-09-06 09:34,2025-09-06 10:55,81,6,No,System,2025-09-06 10:55,Escalation note for APP002,Yes
25,APP003,Other,TeleSales,Sourcing,Submitted,2025-09-06 00:18,Team B,Pending,Submitted done for Sourcing,No,Exact,NA,Medium,NA,No,379,NA,Yes,No,Pending,Hold,Yes,Notes for Sourcing,Yes,0,Approved,2025-09-06 01:18,PDOC note for APP003,7301,2025-09-06 02:18,Active,NA,DI note for APP003,2025-09-06 00:00,2025-09-06 00:18,18,3,No,System,2025-09-06 00:18,Escalation note for APP003,Yes
26,APP003,Other,TeleSales,Sourcing,Reviewed,2025-09-06 00:46,Third Party,Complete,Reviewed done for Sourcing,NA,Exact,Yes,High,No,NA,406,NA,Yes,Yes,Cleared,Hold,No,Notes for Sourcing,Yes,3,Complete,2025-09-06 01:46,PDOC note for APP003,6522,2025-09-06 02:46,Inactive,Yes,DI note for APP003,2025-09-06 00:30,2025-09-06 00:46,16,6,Yes,Team B,2025-09-06 00:46,Escalation note for APP003,No
27,APP003,Other,TeleSales,Dedupe,Checked,2025-09-06 03:46,Team A,Pending,Checked done for Dedupe,NA,Partial,Yes,Low,Yes,Yes,406,NA,NA,NA,Rejected,Decline,NA,Notes for Dedupe,NA,3,Pending,2025-09-06 04:46,PDOC note for APP003,4841,2025-09-06 05:46,Inactive,NA,DI note for APP003,2025-09-06 00:57,2025-09-06 03:46,169,5,Yes,System,2025-09-06 03:46,Escalation note for APP003,Yes
28,APP003,Other,TeleSales,Dedupe,Flagged,2025-09-06 06:41,System,Complete,Flagged done for Dedupe,No,Partial,No,High,No,Yes,559,No,NA,Yes,Pending,Approve,Yes,Notes for Dedupe,No,3,Escalated,2025-09-06 07:41,PDOC note for APP003,2265,2025-09-06 08:41,Inactive,No,DI note for APP003,2025-09-06 04:33,2025-09-06 06:41,128,2,Yes,Team A,2025-09-06 06:41,Escalation note for APP003,No
29,APP003,Other,TeleSales,Underwriting,Verified Documents,2025-09-06 09:33,Third Party,Escalated,Verified Documents done for Underwriting,NA,Partial,No,Medium,No,NA,763,Yes,NA,Yes,Pending,Decline,Yes,Notes for Underwriting,No,0,On Hold,2025-09-06 10:33,PDOC note for APP003,5124,2025-09-06 11:33,Inactive,Yes,DI note for APP003,2025-09-06 07:20,2025-09-06 09:33,133,3,No,Team A,2025-09-06 09:33,Escalation note for APP003,No
30,APP003,Other,TeleSales,Underwriting,Decision,2025-09-06 14:01,Auto,Complete,Decision done for Underwriting,Yes,Partial,No,Medium,Yes,NA,595,NA,Yes,NA,Cleared,Approve,Yes,Notes for Underwriting,No,2,On Hold,2025-09-06 15:01,PDOC note for APP003,5647,2025-09-06 16:01,Inactive,NA,DI note for APP003,2025-09-06 10:19,2025-09-06 14:01,222,9,No,Team A,2025-09-06 14:01,Escalation note for APP003,No
31,APP003,Other,TeleSales,Underwriting,Escalated,2025-09-06 16:00,Auto,Pending,Escalated done for Underwriting,No,Exact,No,High,NA,No,311,Yes,Yes,No,Pending,Decline,NA,Notes for Underwriting,No,1,Complete,2025-09-06 17:00,PDOC note for APP003,5416,2025-09-06 18:00,Inactive,No,DI note for APP003,2025-09-06 14:57,2025-09-06 16:00,63,4,No,Team B,2025-09-06 16:00,Escalation note for APP003,No
32,APP003,Other,TeleSales,PDOC,Documents Collected,2025-09-06 18:17,Third Party,Complete,Documents Collected done for PDOC,No,Partial,No,Low,Yes,No,681,Yes,No,Yes,Cleared,Hold,Yes,Notes for PDOC,NA,1,Rejected,2025-09-06 19:17,PDOC note for APP003,5112,2025-09-06 20:17,Active,No,DI note for APP003,2025-09-06 16:10,2025-09-06 18:17,127,2,Yes,Team B,2025-09-06 18:17,Escalation note for APP003,Yes
33,APP003,Other,TeleSales,PDOC,PDOC Reviewed,2025-09-06 22:07,Third Party,On Hold,PDOC Reviewed done for PDOC,NA,None,Yes,High,Yes,NA,594,Yes,Yes,NA,Pending,Hold,Yes,Notes for PDOC,No,1,Pending,2025-09-06 23:07,PDOC note for APP003,3893,2025-09-07 00:07,Active,No,DI note for APP003,2025-09-06 19:07,2025-09-06 22:07,180,9,No,Team A,2025-09-06 22:07,Escalation note for APP003,No
34,APP003,Other,TeleSales,DI,Disbursed,2025-09-07 00:20,Team A,On Hold,Disbursed done for DI,No,None,No,Low,No,NA,604,No,NA,Yes,Pending,Hold,No,Notes for DI,NA,1,Complete,2025-09-07 01:20,PDOC note for APP003,6665,2025-09-07 02:20,Active,NA,DI note for APP003,2025-09-06 22:54,2025-09-07 00:20,86,9,Yes,Team B,2025-09-07 00:20,Escalation note for APP003,Yes
35,APP003,Other,TeleSales,DI,Activated,2025-09-07 04:14,Team A,Pending,Activated done for DI,No,Exact,No,Low,NA,No,651,Yes,NA,No,Cleared,Hold,NA,Notes for DI,NA,1,Approved,2025-09-07 05:14,PDOC note for APP003,2846,2025-09-07 06:14,Inactive,NA,DI note for APP003,2025-09-07 00:57,2025-09-07 04:14,197,5,Yes,Team B,2025-09-07 04:14,Escalation note for APP003,Yes
36,APP003,Other,TeleSales,DI,Welcome Kit Sent,2025-09-07 07:17,Auto,Pending,Welcome Kit Sent done for DI,NA,None,No,Low,Yes,NA,886,No,NA,NA,Pending,Hold,No,Notes for DI,Yes,1,Rejected,2025-09-07 08:17,PDOC note for APP003,9413,2025-09-07 09:17,Inactive,NA,DI note for APP003,2025-09-07 04:26,2025-09-07 07:17,171,4,No,Team A,2025-09-07 07:17,Escalation note for APP003,No
37,APP004,Loan,Branch,Sourcing,Submitted,2025-09-04 08:10,Third Party,Approved,Submitted done for Sourcing,NA,Exact,NA,Medium,No,NA,872,Yes,NA,NA,Cleared,Hold,NA,Notes for Sourcing,No,0,Complete,2025-09-04 09:10,PDOC note for APP004,2990,2025-09-04 10:10,Inactive,NA,DI note for APP004,2025-09-04 07:00,2025-09-04 08:10,70,3,Yes,System,2025-09-04 08:10,Escalation note for APP004,No
38,APP004,Loan,Branch,Sourcing,Reviewed,2025-09-04 10:50,System,Complete,Reviewed done for Sourcing,No,Exact,No,Low,NA,No,642,Yes,No,Yes,Pending,Approve,No,Notes for Sourcing,No,3,Pending,2025-09-04 11:50,PDOC note for APP004,2721,2025-09-04 12:50,Active,No,DI note for APP004,2025-09-04 08:59,2025-09-04 10:50,111,7,Yes,System,2025-09-04 10:50,Escalation note for APP004,No
39,APP004,Loan,Branch,Dedupe,Checked,2025-09-04 12:02,Team B,On Hold,Checked done for Dedupe,Yes,Exact,Yes,Low,NA,Yes,473,NA,No,NA,Rejected,Decline,No,Notes for Dedupe,Yes,2,Complete,2025-09-04 13:02,PDOC note for APP004,8610,2025-09-04 14:02,Active,Yes,DI note for APP004,2025-09-04 11:41,2025-09-04 12:02,21,8,Yes,System,2025-09-04 12:02,Escalation note for APP004,No
40,APP004,Loan,Branch,Dedupe,Flagged,2025-09-04 14:37,Third Party,On Hold,Flagged done for Dedupe,No,Partial,No,Medium,Yes,NA,444,Yes,NA,Yes,Cleared,Decline,No,Notes for Dedupe,Yes,1,Approved,2025-09-04 15:37,PDOC note for APP004,7716,2025-09-04 16:37,Inactive,Yes,DI note for APP004,2025-09-04 12:45,2025-09-04 14:37,112,1,Yes,Team A,2025-09-04 14:37,Escalation note for APP004,No
41,APP004,Loan,Branch,Underwriting,Verified Documents,2025-09-04 18:26,Third Party,Rejected,Verified Documents done for Underwriting,NA,Exact,No,Medium,Yes,NA,801,Yes,NA,Yes,Cleared,Approve,NA,Notes for Underwriting,NA,3,Pending,2025-09-04 19:26,PDOC note for APP004,8038,2025-09-04 20:26,Active,No,DI note for APP004,2025-09-04 14:44,2025-09-04 18:26,222,7,Yes,System,2025-09-04 18:26,Escalation note for APP004,Yes
42,APP004,Loan,Branch,Underwriting,Decision,2025-09-04 21:43,Team B,Rejected,Decision done for Underwriting,No,Partial,Yes,Low,NA,Yes,683,No,NA,Yes,Cleared,Approve,No,Notes for Underwriting,No,0,On Hold,2025-09-04 22:43,PDOC note for APP004,1949,2025-09-04 23:43,Active,Yes,DI note for APP004,2025-09-04 19:03,2025-09-04 21:43,160,8,No,System,2025-09-04 21:43,Escalation note for APP004,Yes
43,APP004,Loan,Branch,Underwriting,Escalated,2025-09-05 00:34,Team A,Escalated,Escalated done for Underwriting,Yes,Exact,NA,High,No,NA,641,Yes,NA,NA,Pending,Approve,Yes,Notes for Underwriting,Yes,3,Pending,2025-09-05 01:34,PDOC note for APP004,3941,2025-09-05 02:34,Active,NA,DI note for APP004,2025-09-04 22:20,2025-09-05 00:34,134,10,No,Team A,2025-09-05 00:34,Escalation note for APP004,Yes
44,APP004,Loan,Branch,PDOC,Documents Collected,2025-09-05 04:19,Auto,Pending,Documents Collected done for PDOC,Yes,Partial,Yes,Medium,No,No,498,NA,No,Yes,Rejected,Approve,Yes,Notes for PDOC,NA,1,Complete,2025-09-05 05:19,PDOC note for APP004,4176,2025-09-05 06:19,Active,Yes,DI note for APP004,2025-09-05 01:11,2025-09-05 04:19,188,10,Yes,Team A,2025-09-05 04:19,Escalation note for APP004,No
45,APP004,Loan,Branch,PDOC,PDOC Reviewed,2025-09-05 08:56,Team B,Rejected,PDOC Reviewed done for PDOC,No,None,No,Low,Yes,No,389,No,No,No,Rejected,Approve,NA,Notes for PDOC,No,3,Pending,2025-09-05 09:56,PDOC note for APP004,1267,2025-09-05 10:56,Active,NA,DI note for APP004,2025-09-05 05:15,2025-09-05 08:56,221,7,Yes,Team B,2025-09-05 08:56,Escalation note for APP004,Yes
46,APP004,Loan,Branch,DI,Disbursed,2025-09-05 12:53,Team A,Approved,Disbursed done for DI,NA,Exact,Yes,Low,No,No,850,No,NA,No,Cleared,Approve,NA,Notes for DI,No,1,Rejected,2025-09-05 13:53,PDOC note for APP004,9772,2025-09-05 14:53,Inactive,No,DI note for APP004,2025-09-05 09:25,2025-09-05 12:53,208,8,Yes,Team A,2025-09-05 12:53,Escalation note for APP004,Yes
47,APP004,Loan,Branch,DI,Activated,2025-09-05 17:22,Third Party,Complete,Activated done for DI,NA,Partial,No,Medium,No,NA,551,Yes,No,NA,Pending,Approve,NA,Notes for DI,Yes,2,Escalated,2025-09-05 18:22,PDOC note for APP004,5202,2025-09-05 19:22,Inactive,Yes,DI note for APP004,2025-09-05 13:43,2025-09-05 17:22,219,7,Yes,Team B,2025-09-05 17:22,Escalation note for APP004,No
48,APP004,Loan,Branch,DI,Welcome Kit Sent,2025-09-05 21:41,System,Pending,Welcome Kit Sent done for DI,No,Exact,No,High,NA,NA,663,Yes,Yes,Yes,Rejected,Approve,No,Notes for DI,Yes,1,Complete,2025-09-05 22:41,PDOC note for APP004,3226,2025-09-05 23:41,Active,NA,DI note for APP004,2025-09-05 18:00,2025-09-05 21:41,221,6,No,Team A,2025-09-05 21:41,Escalation note for APP004,Yes
49,APP005,Credit Card,Partner,Sourcing,Submitted,2025-09-04 05:56,Team B,Pending,Submitted done for Sourcing,No,Exact,Yes,Medium,Yes,NA,385,NA,NA,Yes,Rejected,Decline,No,Notes for Sourcing,Yes,2,Escalated,2025-09-04 06:56,PDOC note for APP005,9340,2025-09-04 07:56,Inactive,Yes,DI note for APP005,2025-09-04 03:00,2025-09-04 05:56,176,9,No,Team A,2025-09-04 05:56,Escalation note for APP005,No
50,APP005,Credit Card,Partner,Sourcing,Reviewed,2025-09-04 09:04,System,Complete,Reviewed done for Sourcing,NA,Exact,Yes,High,Yes,Yes,539,Yes,NA,No,Rejected,Approve,NA,Notes for Sourcing,Yes,2,On Hold,2025-09-04 10:04,PDOC note for APP005,7214,2025-09-04 11:04,Active,No,DI note for APP005,2025-09-04 06:26,2025-09-04 09:04,158,7,Yes,Team A,2025-09-04 09:04,Escalation note for APP005,No
51,APP005,Credit Card,Partner,Dedupe,Checked,2025-09-04 12:06,Auto,Approved,Checked done for Dedupe,NA,Exact,NA,Medium,Yes,No,460,Yes,No,No,Rejected,Hold,NA,Notes for Dedupe,NA,0,Pending,2025-09-04 13:06,PDOC note for APP005,4533,2025-09-04 14:06,Inactive,Yes,DI note for APP005,2025-09-04 09:38,2025-09-04 12:06,148,9,No,System,2025-09-04 12:06,Escalation note for APP005,Yes
52,APP005,Credit Card,Partner,Dedupe,Flagged,2025-09-04 14:31,Third Party,Rejected,Flagged done for Dedupe,NA,Partial,Yes,Medium,No,No,869,No,Yes,Yes,Cleared,Hold,NA,Notes for Dedupe,Yes,2,Rejected,2025-09-04 15:31,PDOC note for APP005,4419,2025-09-04 16:31,Inactive,No,DI note for APP005,2025-09-04 12:33,2025-09-04 14:31,118,5,No,Team B,2025-09-04 14:31,Escalation note for APP005,No
53,APP005,Credit Card,Partner,Underwriting,Verified Documents,2025-09-04 16:29,Team A,Complete,Verified Documents done for Underwriting,NA,None,NA,High,NA,No,689,No,NA,NA,Rejected,Approve,No,Notes for Underwriting,NA,1,Pending,2025-09-04 17:29,PDOC note for APP005,8073,2025-09-04 18:29,Active,No,DI note for APP005,2025-09-04 15:20,2025-09-04 16:29,69,9,No,Team B,2025-09-04 16:29,Escalation note for APP005,No
54,APP005,Credit Card,Partner,Underwriting,Decision,2025-09-04 17:36,Third Party,Escalated,Decision done for Underwriting,No,Partial,No,High,Yes,NA,521,Yes,NA,No,Cleared,Hold,NA,Notes for Underwriting,No,2,Rejected,2025-09-04 18:36,PDOC note for APP005,5743,2025-09-04 19:36,Inactive,NA,DI note for APP005,2025-09-04 17:26,2025-09-04 17:36,10,3,No,Team A,2025-09-04 17:36,Escalation note for APP005,Yes
55,APP005,Credit Card,Partner,Underwriting,Escalated,2025-09-04 20:40,System,Complete,Escalated done for Underwriting,Yes,Exact,No,Medium,Yes,Yes,546,No,No,NA,Pending,Approve,Yes,Notes for Underwriting,NA,0,Pending,2025-09-04 21:40,PDOC note for APP005,1992,2025-09-04 22:40,Active,No,DI note for APP005,2025-09-04 17:55,2025-09-04 20:40,165,3,Yes,System,2025-09-04 20:40,Escalation note for APP005,Yes
56,APP005,Credit Card,Partner,PDOC,Documents Collected,2025-09-04 23:53,Auto,Escalated,Documents Collected done for PDOC,NA,None,No,Medium,No,Yes,441,Yes,No,Yes,Pending,Approve,No,Notes for PDOC,NA,1,Pending,2025-09-05 00:53,PDOC note for APP005,6397,2025-09-05 01:53,Active,NA,DI note for APP005,2025-09-04 21:22,2025-09-04 23:53,151,5,Yes,Team B,2025-09-04 23:53,Escalation note for APP005,No
57,APP005,Credit Card,Partner,PDOC,PDOC Reviewed,2025-09-05 00:29,Auto,Rejected,PDOC Reviewed done for PDOC,No,Partial,No,High,NA,No,748,No,NA,NA,Pending,Hold,No,Notes for PDOC,NA,1,Complete,2025-09-05 01:29,PDOC note for APP005,2978,2025-09-05 02:29,Active,Yes,DI note for APP005,2025-09-05 00:04,2025-09-05 00:29,25,1,No,System,2025-09-05 00:29,Escalation note for APP005,Yes
58,APP005,Credit Card,Partner,DI,Disbursed,2025-09-05 01:57,Auto,Escalated,Disbursed done for DI,Yes,None,NA,Medium,Yes,Yes,666,No,Yes,NA,Cleared,Hold,NA,Notes for DI,Yes,3,Escalated,2025-09-05 02:57,PDOC note for APP005,5344,2025-09-05 03:57,Active,Yes,DI note for APP005,2025-09-05 01:11,2025-09-05 01:57,46,5,No,System,2025-09-05 01:57,Escalation note for APP005,No
